path	status	source_contract	terlan_version	gate	notes
proofs/lean/Terlan/Core/Arithmetic.lean	current	CoreIR integer arithmetic seed	0.0.7	lean-proof-track-check	Executable integer arithmetic seed family; broader CoreIR preservation remains classified in lean_proof_gaps.tsv.
proofs/lean/Terlan/Core/CheckedLowering.lean	current	Deterministic checked lowering with type and evaluation preservation plus target rejection	0.0.7	lean-proof-track-check	Executable supported lowering seed; broader CoreIR and target-profile coverage remains classified in lean_proof_gaps.tsv.
proofs/lean/Terlan/FeatureCull/LegacyBoundaries.lean	current	0.0.7 retired feature rejection	0.0.7	lean-proof-track-check	Executable one-way rejection boundary for retired compiler and runtime assumptions.
proofs/lean/Terlan/Smoke/SemanticChain.lean	current	Concrete parser-to-CoreIR-to-VM and NativeBoundary semantic smoke	0.0.7	lean-proof-track-check	Executable semantic smoke paired with deterministic runtime and unsupported-target checks in proofs/lean/smoke.
proofs/lean/Terlan/Type/ShapeImplication.lean	current	shape implication evidence soundness, lexical scope, result preservation, and non-conversion	0.0.7	lean-proof-track-check	Executable closed-shape evidence family linked to the canonical type specification and EBNF.
proofs/lean/collections/Collections.lean	current	0.0.7 collections semantic kernel	0.0.7	lean-proof-track-check	Executable positive and rejection witnesses paired with a typed runtime oracle.
proofs/lean/concurrency/Concurrency.lean	current	0.0.7 concurrency semantic kernel	0.0.7	lean-proof-track-check	Executable positive and rejection witnesses paired with a typed runtime oracle.
proofs/lean/database_sql/DatabaseSql.lean	current	0.0.7 database-sql semantic kernel	0.0.7	lean-proof-track-check	Executable positive and rejection witnesses paired with a typed runtime oracle.
proofs/lean/lakefile.lean	generated-only	Lean proof build configuration	0.0.7	lean-proof-track-check	Pinned Lake package definition; execution ownership is recorded by replay metadata.
proofs/lean/native_boundary/NativeBoundary.lean	current	Typed NativeBoundary dispatch, handle linearity, async safety, and deny-list soundness	0.0.7	lean-proof-track-check	Executable proof bound row-by-row through lean-proof-native-boundary-check to generated NativeBoundary manifests and VM runtime-oracle signatures; full Aeneas refinement remains separately classified.
proofs/lean/parser_shape/ParserShape.lean	current	Canonical parser shape and checked CoreIR preservation	0.0.7	lean-proof-track-check	Executable stable-boundary proof for grammar identity, classification, precedence, associativity, SyntaxOutput well-formedness, shape contracts, and checked CoreIR preservation.
proofs/lean/std_packages/StdPackages.lean	current	0.0.7 std-packages semantic kernel	0.0.7	lean-proof-track-check	Executable positive and rejection witnesses paired with a typed runtime oracle.
proofs/lean/templates_routes/TemplateRoutes.lean	current	0.0.7 templates-routes semantic kernel	0.0.7	lean-proof-track-check	Executable positive and rejection witnesses paired with a typed runtime oracle.
proofs/lean/wasm_bridge/WasmBridge.lean	current	0.0.7 wasm-bridge semantic kernel	0.0.7	lean-proof-track-check	Executable positive and rejection witnesses paired with a typed runtime oracle.
