subject_type	subject	owner_bucket	feature_slices	required_gates	next_action	exception_token	exception_expiry
inventory	proofs/lean/Terlan/Core/Arithmetic.lean	cli	Slice 1	lean-proof-track-check	Keep the CoreIR arithmetic proof executable and synchronized with its targeted type contracts.	none	none
inventory	proofs/lean/Terlan/Core/CheckedLowering.lean	cli	Slice 1	lean-proof-track-check	Keep deterministic checked lowering, preservation, and target rejection synchronized with the CoreIR and target-profile contracts.	none	none
inventory	proofs/lean/Terlan/FeatureCull/LegacyBoundaries.lean	cli	Slice 21	lean-proof-feature-cull-check;lean-proof-track-check	Keep retired-feature rejection theorems synchronized with the machine-readable cull map and replacement gates.	none	none
inventory	proofs/lean/native_boundary/NativeBoundary.lean	runtime	Slice 14	lean-proof-native-boundary-check;lean-proof-track-check;native-boundary-security-check;vm-native-boundary-contract-check	Keep typed dispatch, handle linearity, async policy, deny-list soundness, generated manifests, and runtime oracles synchronized.	none	none
inventory	proofs/lean/Terlan/Smoke/SemanticChain.lean	vm	Slice 9	lean-proof-smoke-check;lean-proof-track-check	Keep the semantic proof, VM/native runtime counterparts, unsupported-target rejection, and 0.0.7 signatures synchronized.	none	none
inventory	proofs/lean/Terlan/Type/ShapeImplication.lean	cli	Shape Implications	lean-proof-track-check;shape-implications-check	Keep structural implication evidence, lexical scope, result preservation, and non-conversion theorems synchronized with the canonical type specification and EBNF.	none	none
inventory	proofs/lean/collections/Collections.lean	std	Slice 17	lean-proof-collections-check;lean-proof-semantic-kernels-check;lean-proof-track-check	Keep list, map, and set preservation and rejection witnesses synchronized with their executable collection runtime oracle.	none	none
inventory	proofs/lean/concurrency/Concurrency.lean	vm	Slice 16	lean-proof-concurrency-check;lean-proof-semantic-kernels-check;lean-proof-track-check	Keep mailbox ordering, bounded scheduler progress, timeout, and unsupported scheduling assumptions synchronized with the VM service-actor oracle.	none	none
inventory	proofs/lean/database_sql/DatabaseSql.lean	db	Slice 19	lean-proof-db-sql-check;lean-proof-semantic-kernels-check;lean-proof-track-check	Keep Terlan-owned prepared-binding, transaction-state, and effect-boundary theorems distinct from external SQL-engine and isolation evidence.	none	none
inventory	proofs/lean/parser_shape/ParserShape.lean	cli	Slice 13	lalrpop-parser-parity-check;lean-proof-parser-shape-check;lean-proof-track-check	Keep parser-shape theorems synchronized with the canonical EBNF identity, generated LALRPOP grammar, SyntaxOutput boundary, and checked CoreIR preservation contract.	none	none
inventory	proofs/lean/std_packages/StdPackages.lean	std	Slice 20	lean-proof-std-package-check;lean-proof-semantic-kernels-check;lean-proof-track-check	Keep release-critical JSON, binary, option, and timer contracts synchronized with their typed runtime oracle.	none	none
inventory	proofs/lean/templates_routes/TemplateRoutes.lean	templates	Slice 15	lean-proof-templates-routes-check;lean-proof-semantic-kernels-check;lean-proof-track-check	Keep template-slot and route-lowering preservation and rejection witnesses synchronized with the typed template runtime oracle.	none	none
inventory	proofs/lean/wasm_bridge/WasmBridge.lean	runtime	Slice 18	lean-proof-wasm-bridge-check;lean-proof-semantic-kernels-check;lean-proof-track-check	Keep portable Wasm value lowering, resource ownership, deterministic abort, and host-side-effect rejection synchronized with the ABI runtime oracle.	none	none
inventory	proofs/lean/lakefile.lean	cli	Slice 2	lean-proof-track-check	Keep Lake configuration synchronized with replay dependency hashes.	none	none
gap	EBNF syntax preservation	cli	Slice 13	lean-proof-parser-shape-check;lean-proof-track-check	Keep the closed syntax-preservation gap bound to the executable parser-shape proof and canonical grammar contract.	none	none
gap	typed CoreIR preservation	cli	Slice 1	core-typing-spec-check;lean-proof-track-check	Restore CoreIR preservation proofs against the current type specification.	none	none
gap	target-profile inference	cli	Slice 1	target-inference-contract-check;lean-proof-track-check	Restore target-inference proofs for the default VM profile.	none	none
gap	VM execution subset	vm	Slice 1	vm-runtime-semantics-check;lean-proof-track-check	Restore VM execution subset proofs once VM semantics are stable.	none	none
gap	pattern and operator coverage	cli	Slice 1	language-feature-coverage-100-check;lean-proof-track-check	Restore pattern and operator proof coverage from the coverage matrices.	none	none
gap	native-boundary contracts	runtime	Slice 14	lean-proof-native-boundary-check;lean-proof-track-check	Keep the closed NativeBoundary contract gap bound to typed manifests and VM runtime-oracle evidence.	none	none
gap	Wasm CoreIR lowering	cli	Slice 1	wasm-coreir-lowering-check;lean-proof-track-check	Restore portable Wasm lowering proof obligations.	none	none
gap	Aeneas Rust verification bridge	runtime	Slice 1	lean-proof-track-check	Restore the bridge artifact that connects Rust verification to Terlan semantics.	none	none
