path	status	theorem_scope	targeted_manifests	expected_exit	stderr_class	proof_digest	replay_metadata	remediation_plan
proofs/lean/Terlan/Core/Arithmetic.lean	current	CoreIR	docs/compiler/type_spec/terlan_core_typing_spec.toml;docs/compiler/CORE_IR_LEAN_CONFORMANCE.md	0	none	sha256:bd3f2ea4e54f8943028b2f26bc06b10b5af8287678a3ec87b345118824c37815	proofs/lean/artifacts/coreir-arithmetic.json	none
proofs/lean/Terlan/Core/CheckedLowering.lean	current	lowering	docs/compiler/CORE_IR_LEAN_CONFORMANCE.md;docs/compiler/TERLAN_TARGET_INFERENCE.md;docs/compiler/type_spec/terlan_core_typing_spec.toml	0	none	sha256:46422c5fd264e49c147c5f08a436b3a92d647550be498d0db140d1966c082974	proofs/lean/artifacts/coreir-checked-lowering.json	none
proofs/lean/Terlan/FeatureCull/LegacyBoundaries.lean	current	rejection	docs/compiler/TERLAN_TARGET_INFERENCE.md;docs/runtime/NATIVE_BOUNDARY_GLOSSARY.md;proofs/lean/feature_cull/removed_features.json	0	none	sha256:2bd4f904792ad70cbca438b0b9463fe94fc2d1ec7ede553c43563e53a70306cd	proofs/lean/artifacts/feature-cull-legacy-boundaries.json	none
proofs/lean/Terlan/Smoke/SemanticChain.lean	current	lowering	proofs/lean/smoke/SemanticSmokeTest.terl;proofs/lean/smoke/UnsupportedNativeBridge.terl;proofs/lean/smoke/smoke-manifest.tsv	0	none	sha256:35e967e46a00e564f0e56ea95afc63b6d032496f435cf2bb87a095e9e6ea2014	proofs/lean/artifacts/semantic-smoke-chain.json	none
proofs/lean/Terlan/Type/ShapeImplication.lean	current	CoreIR	docs/compiler/TERLAN_CORE_TYPING_SPEC.md;docs/grammar/TERLAN_SYNTAX_SPEC.ebnf	0	none	sha256:2480453ade68213c794440f302323797f850b8c92d76e3886ffe66446355a36b	proofs/lean/artifacts/shape-implication.json	none
proofs/lean/collections/Collections.lean	current	CoreIR	docs/compiler/type_spec/language_feature_coverage_matrix.json	0	none	sha256:cd429b6b7d63643333cad8beb99049905e7e994848b42c2ec85a1180f4595065	proofs/lean/artifacts/collections.json	none
proofs/lean/concurrency/Concurrency.lean	current	lowering	docs/runtime/TERLAN_VM_RUNTIME_CONCEPTS.md	0	none	sha256:5e0c61d3a415d71089334d3e9f133b99958a151bc83081b7191613d15d846f33	proofs/lean/artifacts/concurrency.json	none
proofs/lean/database_sql/DatabaseSql.lean	current	NativeBoundary	std/summaries/std.db.Postgres.native_boundary.json	0	none	sha256:0f746de88857fdacc2fc85f6a1f255b3150e0dca758bdac8fcd3aa753a4fdfdf	proofs/lean/artifacts/database-sql.json	none
proofs/lean/native_boundary/NativeBoundary.lean	current	NativeBoundary	crates/terlan/src/runtime/native_boundary/dispatch.rs;crates/terlan/src/runtime/native_boundary/metadata.rs;crates/terlan/src/runtime/native_boundary/runtime.rs;crates/terlan/src/runtime/native_boundary/worker.rs;proofs/lean/native_boundary/promotion-policy.json;scripts/self_validation/LeanProofNativeBoundaryTest.terl;std/NATIVE_BOUNDARY_SECURITY.tsv;std/summaries/std.data.Json.native_boundary.json;std/summaries/std.db.Postgres.native_boundary.json;std/summaries/std.encoding.Base64.native_boundary.json;std/summaries/std.encoding.Md5.native_boundary.json;std/summaries/std.http.Cookies.native_boundary.json;std/summaries/std.http.Request.native_boundary.json;std/summaries/std.http.Response.native_boundary.json;std/summaries/std.http.Session.native_boundary.json;std/summaries/std.http.Sse.native_boundary.json;std/summaries/std.http.Tls.native_boundary.json;std/summaries/std.http.WebSocket.native_boundary.json;std/summaries/std.io.Path.native_boundary.json;std/summaries/std.native.collections.Vector.native_boundary.json;std/summaries/std.net.Uri.native_boundary.json;std/summaries/std.random.Random.native_boundary.json;std/summaries/std.regex.Regex.native_boundary.json;std/summaries/terlan_libpq.Driver.native_boundary.json	0	none	sha256:3671cd9f8b63956f45f40d20e76106b933cad57f5079d3c0285aaa734368ddc2	proofs/lean/artifacts/native-boundary.json	none
proofs/lean/parser_shape/ParserShape.lean	current	parser	crates/terlan/src/compiler/syntax/syntax_output.rs;crates/terlan/src/compiler/syntax/terlan_lalrpop.lalrpop;docs/grammar/TERLAN_SYNTAX_SPEC.ebnf	0	none	sha256:b1af86ef1a14129efe0e7497472d71ee23fb68fb356539de82cfb2c4335e2789	proofs/lean/artifacts/parser-shape.json	none
proofs/lean/std_packages/StdPackages.lean	current	CoreIR	std/data/Json.terl	0	none	sha256:1c2ea16fd3a3ce051d1e1bb355564b0df399e739ce051c0b656c824ddf8322d2	proofs/lean/artifacts/std-packages.json	none
proofs/lean/templates_routes/TemplateRoutes.lean	current	CoreIR	docs/grammar/TERLAN_SYNTAX_SPEC.ebnf	0	none	sha256:e90cd3d15c814c74b2b4529ef350dcc34cf1ddc6f3379e15c50f14570326f8cf	proofs/lean/artifacts/templates-routes.json	none
proofs/lean/wasm_bridge/WasmBridge.lean	current	lowering	crates/terlan/src/backends/wasm/README.md	0	none	sha256:8801c7dccbcd7dbdb2c3fd61c751add78e18198194fb82dda221322d8b4aba62	proofs/lean/artifacts/wasm-bridge.json	none
