gate	classification	evidence
callable-syntax-cleanup-check	required-local	gate:callable-syntax-cleanup-check
value-lifecycle-contract-check	required-local	gate:value-lifecycle-contract-check
repeated-let-syntax-check	required-local	gate:repeated-let-syntax-check
language-feature-coverage-100-check	required-local	gate:language-feature-coverage-100-check
operator-coverage-100-check	required-local	gate:operator-coverage-100-check
core-type-contracts-check	required-local	gate:core-type-contracts-check
type-alias-shorthand-check	required-local	gate:type-alias-shorthand-check
compiler-purity-metadata-check	required-local	gate:compiler-purity-metadata-check
comprehension-guards-check	required-local	gate:comprehension-guards-check
string-pattern-matching-check	required-local	gate:string-pattern-matching-check
flexible-shape-guards-check	required-local	gate:flexible-shape-guards-check
shape-implications-check	required-local	gate:shape-implications-check
shape-synonyms-check	required-local	gate:shape-synonyms-check
binary-bitstring-processing-check	required-local	gate:binary-bitstring-processing-check
function-head-pattern-parameters-check	required-local	gate:function-head-pattern-parameters-check
pattern-matching-support-check	required-local	gate:pattern-matching-support-check
lean-proof-track-check	required-local	gate:lean-proof-track-check
lean-proof-feature-binding-check	required-local	gate:lean-proof-feature-binding-check
lean-proof-change-impact-report	required-local	gate:lean-proof-change-impact-report
lean-proof-feature-binding-review	required-local	gate:lean-proof-feature-binding-review
lean-proof-snapshot-consistency-check	required-local	gate:lean-proof-snapshot-consistency-check
lean-proof-counterexample-check	required-local	gate:lean-proof-counterexample-check
lean-proof-feature-cull-check	required-local	gate:lean-proof-feature-cull-check
lean-proof-track-pr-gate	required-local	gate:lean-proof-track-pr-gate
lean-proof-track-regression-check	required-local	gate:lean-proof-track-regression-check
lean-proof-track-runtime-check	required-local	gate:lean-proof-track-runtime-check
release-artifacts-closeout-check	required-local	gate:release-artifacts-closeout-check
proof-readiness-release-mode-check	required-local	gate:proof-readiness-release-mode-check
terlan-lint-style-profile-check	required-local	gate:terlan-lint-style-profile-check
terlan-lint-style-check	required-local	gate:terlan-lint-style-check
terlan-lint-pipe-canonicalization-check	required-local	gate:terlan-lint-pipe-canonicalization-check
std-test-honesty-check	required-local	gate:std-test-honesty-check
std-test-table-check	required-local	gate:std-test-table-check
std-test-property-check	required-local	gate:std-test-property-check
js-type-emission-contract-check	required-local	gate:js-type-emission-contract-check
std-package-coverage-100-check	required-local	gate:std-package-coverage-100-check
std-range-check	required-local	gate:std-range-check
std-random-check	required-local	gate:std-random-check
std-regex-check	required-local	gate:std-regex-check
stdlib-release-tests-vm-default-check	required-local	gate:stdlib-release-tests-vm-default-check
all-terlan-tests-vm-check	required-local	gate:all-terlan-tests-vm-check
terlc-build-executable-check	required-local	gate:terlc-build-executable-check
terlan-vm-run-command-check	required-local	gate:terlan-vm-run-command-check
vm-release-install-validation-check	required-local	gate:vm-release-install-validation-check
rust-build-feature-shipping-check	required-local	gate:rust-build-feature-shipping-check
wasm-coreir-lowering-check	retired	superseded:runtime-aot-only-check
wasm-runtime-exec-check	required-platform	report:target/quality/vm-release-artifact-matrix-report.json
cpp-binding-generator-check	required-platform	report:target/quality/vm-release-artifact-matrix-report.json
cuda-package-availability-check	required-platform	report:target/quality/vm-release-artifact-matrix-report.json
cuda-package-check	required-platform	report:target/quality/vm-release-artifact-matrix-report.json
typed-template-interpolation-check	required-local	gate:typed-template-interpolation-check
angular-ts-terlan-integration-check	required-platform	report:target/quality/vm-release-artifact-matrix-report.json
terlan-vm-erl-suite-audit-check	required-local	gate:terlan-vm-erl-suite-audit-check
vm-http-concurrency-investigation-check	required-local	gate:vm-http-concurrency-investigation-check
vm-http-vs-axum-check	required-controlled-host	report:target/quality/release-performance-baseline-report.json
vm-http-benchmark-comparability-check	required-controlled-host	report:target/quality/release-performance-baseline-report.json
vm-http-runtime-attribution-check	required-controlled-host	report:target/quality/release-performance-baseline-report.json
vm-http-soak-stability-check	required-controlled-host	report:target/quality/release-performance-baseline-report.json
vm-http-acme-tls-production-check	required-controlled-host	report:target/quality/release-performance-baseline-report.json
