# file_glob	line_regex	category	notes
ROADMAP_0_0_7.md	^\s*makes\ Terlan\ VM\ the\ default\ runtime\ direction\.\ BEAM\ bytecode,\ Erlang\ source$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*lowering,\ ERTS\ packaging,\ EUnit,\ and\ OTP\ runtime\ execution\ are\ not\ product$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*Completed\ progress:\ `erlang\-backend\-classification\-check`\ now\ runs\ its\ 6$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*classified\ Erlang/BEAM\ backend\ paths\.$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*markers\ plus\ 21\ forbidden\ OTP/BEAM\ fragments\.$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*tests\ before\ the\ CLI\ scan,\ rejects\ placeholder\ OTP\ exit\ text,\ and\ enforces\ 10$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*OTP\ reference\ entries\ as\ 2\ mined,\ 6\ pending,\ and\ 1\ rejected\.$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*machinery,\ and\ unsupported\ OTP\ compatibility\ rows\.$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*\-\ Tokio,\ OTP,\ and\ BEAM\-derived\ paths\ must\ not\ define\ default\ runtime$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*pattern\ matching\.\ Erlang\-style\ `<<\.\.\.>>`\ syntax\ is\ intentionally\ rejected,$	historical-baseline	Roadmap line keeps a historical comparison or syntax reference outside product runtime semantics.
ROADMAP_0_0_7.md	^\s*so\ Terlan\ needs\ its\ own\ explicit\ form\ instead\ of\ leaking\ BEAM\ syntax\.$	historical-baseline	Roadmap line keeps a historical comparison or syntax reference outside product runtime semantics.
ROADMAP_0_0_7.md	^\s*\-\ Requirement:\ do\ not\ adopt\ Erlang\ `<<SourcePort:16,\ Payload/binary>>`$	historical-baseline	Roadmap line keeps a historical comparison or syntax reference outside product runtime semantics.
ROADMAP_0_0_7.md	^\s*\-\ Acceptance:\ adversarial\ tests\ prove\ Erlang\ `<<\.\.\.>>`\ syntax\ remains$	historical-baseline	Roadmap line keeps a historical comparison or syntax reference outside product runtime semantics.
ROADMAP_0_0_7.md	^\s*Erlang\ `<<\.\.\.>>`\ while\ supporting\ canonical\ descriptor\ composition\.\ Example:$	historical-baseline	Roadmap line keeps a historical comparison or syntax reference outside product runtime semantics.
ROADMAP_0_0_7.md	^\s*Erlang\ `<<\.\.\.>>`\ fallback\),\ and\ supports\ composition\ across\ modules\ and$	historical-baseline	Roadmap line keeps a historical comparison or syntax reference outside product runtime semantics.
ROADMAP_0_0_7.md	^\s*\-\ Requirement:\ ensure\ scheduler\ APIs\ are\ VM\-owned\ and\ do\ not\ depend\ on\ BEAM\-style$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*BEAM\-style\ behavior\ for\ function\-head\ destructuring\.$	historical-baseline	Roadmap line keeps a historical comparison or syntax reference outside product runtime semantics.
ROADMAP_0_0_7.md	^\s*subset\ into\ validated\ WebAssembly\ bytes\ without\ going\ through\ JS,\ BEAM,$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*Erlang\ source,\ or\ VM\ bytecode\ as\ an\ intermediary\.$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*\#\#\#\ Terlan\ VM\ BEAM\ Test\ Feature\ Parity$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*\-\ \[\ \]\ Audit\ and\ port\ every\ relevant\ Erlang/OTP\ test\ suite\ still\ present\ under\ the\ external$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*EUnit,\ shell\-script,\ and\ make\-driven\ test\ files\ under\ `terlan\-vm`,\ with$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*path,\ owning\ subsystem,\ test\ runner,\ OTP\ dependency\ level,\ and\ whether\ the$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*\-\ Requirement:\ test\ feature\ parity\ with\ BEAM\ is\ the\ goal\.\ Any\ BEAM/OTP\ test$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*equivalence,\ not\ OTP\ compatibility\ as\ a\ product\ promise\.\ Treat\ the$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*Erlang/OTP\ corpus\ as\ accumulated\ real\-world\ failure\ feedback\.\ Port\ the$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*\-\ Requirement:\ any\ BEAM/OTP\ test\ that\ cannot\ be\ ported\ because\ it\ covers$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*stock\ OTP\ implementation\ details,\ BEAM\ bytecode\ compatibility,\ Erlang$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
